Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,846,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.58,B40,
Rcap-,847,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.69,B41,
Rcap-,848,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,2.98,B42,
Rcap-,849,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,4.07,B43,
Rcap-,850,Rcap2,2,2/25/11,2011,100,3/11/11,6/2/11,,3.15,na,dead in tank
Rcap-,866,Rcap2,2,2/25/11,2011,100,3/11/11,6/3/11,,2.72,B58,
Rcap-,867,Rcap2,2,2/25/11,2011,100,3/11/11,6/3/11,,3.34,B59,
Rcap-,868,Rcap2,2,2/25/11,2011,100,3/11/11,6/3/11,,3.95,B60,
Rcap-,869,Rcap2,2,2/25/11,2011,100,3/11/11,6/3/11,,3.02,B61,tail nub
Rcap-,882,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,3.47,B73,tail nub left
Rcap-,883,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,3.1,B74,
Rcap-,884,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,2.97,B75,
Rcap-,885,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,3.18,B76,
Rcap-,886,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,3.86,B77,small tail remaining
Rcap-,887,Rcap2,2,2/25/11,2011,100,3/11/11,6/4/11,,3.05,na,"small tail remains, found dead 6/9/2011"
Rcap-,911,Rcap2,2,2/25/11,2011,100,3/11/11,6/5/11,,3.17,C01,tail nub
Rcap-,912,Rcap2,2,2/25/11,2011,100,3/11/11,6/5/11,,2.88,C03,"small tail, C02 was lost"
Rcap-,913,Rcap2,2,2/25/11,2011,100,3/11/11,6/5/11,,3.49,C04,tail nub
