Species,ID_No,Stocking.density,Tank.ID,Year,Date.metamorphosed,Mass.g.metamorphosed,Mark,Fate.comments,Mortality,Facility,Days.to.metamorphosis,Date.eggs.hatched,Clutch.ID,Date.stocked
Lcapito,934,45,3,2018,6/27/18,5.01,,,,UGA,,NA,NA,NA
Lcapito,935,45,3,2018,6/27/18,4.93,,,,UGA,,NA,NA,NA
Lcapito,929,45,3,2018,6/26/18,6.59,,,,UGA,,NA,NA,NA
Lcapito,932,45,3,2018,6/26/18,5.13,,"pulled 6/25 from tank, long tail",,UGA,,NA,NA,NA
Lcapito,922,45,3,2018,6/25/18,5.84,,,,UGA,,NA,NA,NA
Lcapito,923,45,3,2018,6/25/18,4.52,,,,UGA,,NA,NA,NA
Lcapito,917,45,3,2018,6/24/18,4.3,,,,UGA,,NA,NA,NA
Lcapito,918,45,3,2018,6/24/18,4.62,,,,UGA,,NA,NA,NA
Lcapito,919,45,3,2018,6/24/18,4.51,,,,UGA,,NA,NA,NA
Lcapito,920,45,3,2018,6/24/18,5.99,,,,UGA,,NA,NA,NA
Lcapito,910,45,3,2018,6/23/18,5.23,,,,UGA,,NA,NA,NA
Lcapito,911,45,3,2018,6/23/18,5.04,,10mm tail,,UGA,,NA,NA,NA
Lcapito,912,45,3,2018,6/23/18,5.55,,4mm tail,,UGA,,NA,NA,NA
Lcapito,900,45,3,2018,6/22/18,5.38,,,,UGA,,NA,NA,NA
Lcapito,893,45,3,2018,6/21/18,4.61,,,,UGA,,NA,NA,NA
Lcapito,882,45,3,2018,6/20/18,5.5,,,,UGA,,NA,NA,NA
Lcapito,883,45,3,2018,6/20/18,5.07,,,,UGA,,NA,NA,NA
Lcapito,881,45,3,2018,6/19/18,5.24,,,,UGA,,NA,NA,NA
Lcapito,856,45,3,2018,6/17/18,4.37,,,,UGA,,NA,NA,NA
,,,,,,5.302,,,,,,NA,NA,NA
