"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis"
"2011","6/7/11","2.66",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/7/11","3.11",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/8/11","3.16","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/8/11","3.42",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/8/11","2.94",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/8/11","2.96","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/9/11","2.57",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/9/11","3.05",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/9/11","3.1",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/9/11","3.55","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/10/11","3.01",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/10/11","2.67","small tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","4.15","short tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","3.38","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","2.55","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","3.47","short tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","3.58","short tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/11/11","2.45","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/12/11","2.99","small tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/12/11","4.12","small tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/12/11","3.01","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/14/11","2.58",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/14/11","2.8",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/14/11","3.44",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/14/11","3.43",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/15/11","2.89","small tail","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/15/11","3.07",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/15/11","3.67",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/15/11","3.32",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/16/11","3.5","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/17/11","3.44",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/18/11","3.07",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/19/11","3.09",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/19/11","3.75",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/19/11","3.51",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/21/11","3.22","found dead 6/23/2011, SCWDS","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/21/11","3.21",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/21/11","3.17","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/24/11","4.22",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/24/11","3.87","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/27/11","4.21","dead in tank; preserved in EtOH","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/27/11","4.08",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/29/11","4.1",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/29/11","3.57",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/1/11","4.7",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/1/11","4.98",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/1/11","3.36",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/1/11","4.28",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/4/11","3.89",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/4/11","3.05",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/4/11","5.06",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/4/11","4.6",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/6/11","4.6",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/9/11","5.54",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/9/11","5.93",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","4.31",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","4.55",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","4.39",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","4.29",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","4.37","left leg broke accidently","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","3.44",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/15/11","3.68",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","7/20/11","4.97",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.49","nsa","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.95","did not use","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.61","nsa","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.36",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","4.45",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.75",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.28",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/2/11","3.76","dead in tank- in freezer","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/3/11","3.97",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/3/11","3.59",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/3/11","3.58",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/3/11","3.44",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","4.24","preserved in 95% EtOH","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","4.06","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","4.4","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","3.85","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","3.57","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","4.1","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/4/11","3.09","tail nub left","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/5/11","5.06",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/5/11","4.26","small tail","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","4.13",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","3.48","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","3.68",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","3.41",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","3.83","small tail remaining","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","3.12","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/6/11","4.22",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/7/11","3.36","small tail","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/7/11","4",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/8/11","4.2","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/8/11","3.73","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
