Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2602,NA,2/25/13,11,145,2013,3/7/13,7/2/13,117,4.98,2500,,not applicable
Rcap-,2603,NA,2/25/13,11,145,2013,3/7/13,7/2/13,117,4.3,2500,,not applicable
Rcap-,2553,NA,2/25/13,1,100,2013,3/7/13,6/30/13,115,3.92,2500,,not applicable
Rcap-,2554,NA,2/25/13,1,100,2013,3/7/13,6/30/13,115,4.84,2500,,not applicable
Rcap-,2555,NA,2/25/13,1,100,2013,3/7/13,6/30/13,115,4.8,2500,,not applicable
Rcap-,2556,NA,2/25/13,2,100,2013,3/7/13,6/30/13,115,3.74,2500,,not applicable
Rcap-,2557,NA,2/25/13,2,100,2013,3/7/13,6/30/13,115,5.57,2500,,not applicable
Rcap-,2558,NA,2/25/13,2,100,2013,3/7/13,6/30/13,115,4.05,2500,,not applicable
Rcap-,2559,NA,2/25/13,2,100,2013,3/7/13,6/30/13,115,4.01,2500,,not applicable
Rcap-,2560,NA,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.5,2500,,not applicable
Rcap-,2561,NA,2/25/13,3,100,2013,3/7/13,6/30/13,115,2.61,2500,,not applicable
Rcap-,2562,NA,2/25/13,3,100,2013,3/7/13,6/30/13,115,2.54,2500,,not applicable
Rcap-,2563,NA,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.7,2500,,not applicable
Rcap-,2564,NA,2/25/13,3,100,2013,3/7/13,6/30/13,115,3.24,2500,,not applicable
Rcap-,2565,NA,2/25/13,4,100,2013,3/7/13,6/30/13,115,3.54,2500,,not applicable
Rcap-,2566,NA,2/25/13,4,100,2013,3/7/13,6/30/13,115,3.89,2500,,not applicable
Rcap-,2567,NA,2/25/13,4,100,2013,3/7/13,6/30/13,115,3.32,2500,,not applicable
Rcap-,2568,NA,2/25/13,5,100,2013,3/7/13,6/30/13,115,2.94,2500,,not applicable
Rcap-,2569,NA,2/25/13,5,100,2013,3/7/13,6/30/13,115,2.91,2500,,not applicable
Rcap-,2570,NA,2/25/13,5,100,2013,3/7/13,6/30/13,115,3.68,2500,,not applicable
Rcap-,2571,NA,2/25/13,6,100,2013,3/7/13,6/30/13,115,5.86,2500,,not applicable
Rcap-,2572,NA,2/25/13,6,100,2013,3/7/13,6/30/13,115,5.66,2500,,not applicable
Rcap-,2573,NA,2/25/13,6,100,2013,3/7/13,6/30/13,115,4.89,2500,,not applicable
Rcap-,2574,NA,2/25/13,8,100,2013,3/7/13,6/30/13,115,4.2,2500,,not applicable
Rcap-,2575,NA,2/25/13,9,100,2013,3/7/13,6/30/13,115,4.49,2500,,not applicable
Rcap-,2576,NA,2/25/13,10,100,2013,3/7/13,6/30/13,115,6.2,2500,,not applicable
Rcap-,2577,NA,2/25/13,10,100,2013,3/7/13,6/30/13,115,4.39,2500,,not applicable
Rcap-,2578,NA,2/25/13,11,145,2013,3/7/13,6/30/13,115,4.98,2500,,not applicable
Rcap-,2547,NA,2/25/13,3,100,2013,3/7/13,6/29/13,114,3.64,2500,,not applicable
Rcap-,2548,NA,2/25/13,3,100,2013,3/7/13,6/29/13,114,3.43,2500,,not applicable
Rcap-,2549,NA,2/25/13,9,100,2013,3/7/13,6/29/13,114,4,2500,,not applicable
Rcap-,2550,NA,2/25/13,9,100,2013,3/7/13,6/29/13,114,5.46,2500,,not applicable
Rcap-,2551,NA,2/25/13,11,145,2013,3/7/13,6/29/13,114,4.61,2500,,not applicable
Rcap-,2552,NA,2/25/13,11,145,2013,3/7/13,6/29/13,114,4.61,2500,,not applicable
Rcap-,2541,NA,2/25/13,1,100,2013,3/7/13,6/28/13,113,5.5,2500,,not applicable
Rcap-,2542,NA,2/25/13,1,100,2013,3/7/13,6/28/13,113,4.26,2500,,not applicable
Rcap-,2543,NA,2/25/13,1,100,2013,3/7/13,6/28/13,113,2.49,2500,,not applicable
Rcap-,2544,NA,2/25/13,1,100,2013,3/7/13,6/28/13,113,4.63,2500,,not applicable
Rcap-,2527,NA,2/25/13,2,100,2013,3/7/13,6/28/13,113,3.37,2500,,not applicable
Rcap-,2528,NA,2/25/13,2,100,2013,3/7/13,6/28/13,113,4.14,2500,,not applicable
