"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Tank.ID","Date.stocked","Days.to.metamorphosis","Year","Date.metamorphosed","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility","Person Entering Data"
"Rcapito",616,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/6/22",3.18,NA,"*weigh after, 7/11",NA,"White Hall","CP"
"Rcapito",247,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/22/22",3.19,NA,NA,NA,"White Hall","CP"
"Rcapito",479,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","7/1/22",3.19,NA,NA,NA,"White Hall","CP"
"Rcapito",25,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/10/22",3.2,NA,NA,NA,"White Hall","CP"
"Rcapito",117,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/15/22",3.2,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",384,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/24/22",3.2,NA,NA,NA,"White Hall","CP"
"Rcapito",447,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/29/22",3.2,NA,"1 cm tail",NA,"White Hall","CP"
"Rcapito",727,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/17/22",3.2,NA,NA,NA,"White Hall","CP"
"Rcapito",17,"gf1","3/2/22",60,"18","3/16/22",NA,"2022","6/10/22",3.21,NA,NA,NA,"White Hall","CP"
"Rcapito",233,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/22/22",3.21,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",381,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/24/22",3.21,NA,"*weigh after, 7/1",NA,"White Hall","CP"
"Rcapito",81,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/15/22",3.22,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",119,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/17/22",3.22,NA,"1/2 cm tail, weigh after",NA,"White Hall","CP"
"Rcapito",220,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/22/22",3.22,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",695,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/13/22",3.22,NA,"*weigh after, 7/17",NA,"White Hall","CP"
"Rcapito",67,"gf3","3/2/22",60,"9","3/16/22",NA,"2022","6/15/22",3.23,NA,NA,NA,"White Hall","CP"
"Rcapito",152,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/20/22",3.23,NA,NA,NA,"White Hall","CP"
"Rcapito",359,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/24/22",3.23,NA,NA,NA,"White Hall","CP"
"Rcapito",528,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","7/4/22",3.23,NA,"*weigh after, 7/5",NA,"White Hall","CP"
"Rcapito",137,"gf3","3/2/22",60,"4","3/16/22",NA,"2022","6/20/22",3.24,NA,NA,NA,"White Hall","CP"
"Rcapito",248,"gf3","3/2/22",60,"24","3/16/22",NA,"2022","6/22/22",3.24,NA,NA,NA,"White Hall","CP"
"Rcapito",385,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/24/22",3.24,NA,NA,NA,"White Hall","CP"
